🇹🇼台灣主頻道,#genre#

民視,rtmp://119.81.124.89/sat/tv051
民視,http://seb.sason.top/ptv/ftv.php?id=ms
萬秀豬王,http://richman.cf/tvbox/raw.php?id=02.m3u8
TaiwanPlus,http://richman.cf/tvbox/raw.php?id=03.m3u8
新唐人亞太,http://richman.cf/tvbox/raw.php?id=a1.m3u8
CNN國際,http://198.16.100.90:8278/cnn_twn/playlist.m3u8?tid=ME9E1590756115907561&ct=19225&tsum=adf5db9504938a69e07bad07c9d6f7d6
CNN國際,http://ip2121.com:8081/live/cnn/playlist.m3u8
中視新聞ᴴᴰ,http://richman.cf/tvbox/raw.php?id=01.m3u8
中視新聞ᴴᴰ,http://198.16.100.90:8278/zhongshinews_twn/playlist.m3u8?tid=MD0D3377711133777111&ct=19249&tsum=ffaee3fe7040c96643b3c7f12bf2de8d
人間衛視,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/chunklist_w511254805.m3u8
人間衛視,http://218.32.47.179:8506/http/192.168.1.9:8081/hls/69/811/ch36.m3u8http://120.84.96.195:808/hls/32/index.m3u8
人間衛視,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u
人間衛視,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/playlist.m3u8
台視,rtmp://219.80.97.77/sat/tv071
台視,http://richman.cf/tvbox/raw.php?id=08.m3u8
台視新聞ᴴᴰ,http://richman.cf/tvbox/raw.php?id=09.m3u8
中視,rtmp://9tv3.mine.nu/sat/tv091
中視,rtmp://219.80.97.77/sat/tv091
中視,rtmp://119.81.124.89/sat/tv091
國興衛視,http://220.134.196.147:9575/http/116.50.42.19:8081/hls/64/806/ch15.m3u8
華視,rtmp://219.80.97.77/sat/tv111
華視,http://218.32.47.179:18503/.m3u8
華視,http://218.32.47.179:18503/http/192.168.1.9:8081/hls/72/814/ch48.m3u8
華視,rtmp://119.81.124.89/sat/tv111
公視,http://218.32.47.179:18505/.m3u8
好消息2,http://live.streamingfast.net/osmflivech2.m3u8
龍華戲劇,http://198.16.100.90:8278/lunghuaxiju_twn/playlist.m3u8?tid=MF2F2793524427935244&ct=19249&tsum=db1ef83fbbb,ae9a364979295fd690f7d 
龍華戲劇,http://198.16.100.90:8278/lunghuaxiju_twn/playlist.m3u8?tid=MBAB4709384347093843&ct=19226&tsum=a2a7258f856,5588e10b8da2f26ba8039 
龍華戲劇,http://198.16.100.90:8278/lunghuaxiju_twn/playlist.m3u8?tid=m5c1b0bf1531015581628&ct=17874&tsum=2d2c4d6761fa92d63b97c0fe787007cb
龍華偶像,http://198.16.100.90:8278/lunghuaidol_twn/playlist.m3u8?tid=ME6E1618913016189130&ct=19226&tsum=392d7662a2ff7080289fbe9646e8501d
龍華偶像,http://198.16.100.90:8278/lunghuaidol_twn/playlist.m3u8?tid=MD6D6087277960872779&ct=19249&tsum=83e30fd8200429793355d2,1bf37719ff
愛爾達影劇,http://198.16.100.90:8278/eltayingju_twn/playlist.m3u8?tid=MFFF8590726285907262&ct=19249&tsum=ae4cb19fed11696df934d6e2489e2978
國家地理頻道,http://60.251.59.180:8526/http/116.50.42.18:8081/hls/61/803/ch01.m3u8
國家地理頻道,http://218.32.47.179:18509/.m3u8
國家地理頻道,http://218.32.47.179:18509/http/192.168.1.9:8081/hls/61/803/ch01.m3u8
探索頻道,http://198.16.100.90:8278/ba86fcd935/playlist.m3u8?tid=m1b458a366fcb&ct=18335&tsum=6ee1498a5e37d8bd1e3f62954629ed4f
探索頻道,http://198.16.100.90:8278/discoverych_twn/playlist.m3u8?tid=MA3A2844188928441889&ct=18393&tsum=5b966ba17918ab0d7dd4c462d1b0b811
探索頻道,http://198.16.100.90:8278/discoveryhd_twn/playlist.m3u8?tid=MB0B1462900214629002&ct=18393&tsum=ce9990e01102bf91728bdbbb549b04a7
探索頻道,http://198.16.100.90:8278/discoveryhd_twn/playlist.m3u8?tid=ME6E2405719624057196&ct=19225&tsum=57a7c421c65e00c1b8f68f67c30141dc
TLC旅遊生活,http://198.16.100.90:8278/tlc_twn/playlist.m3u8?tid=MA0A5904082259040822&ct=19226&tsum=8fa7deead1d4b260825af15bc7378132
動物星球,http://60.251.59.180:8512/http/116.50.42.18:8088/hls/70/812/ch37.m3u8?token=7375646f37d6b4749c6736c4160c9b3011e5cfda
靖天卡通台,http://50.7.238.114:8278/jingtiancartoon_twn/playlist.m3u8?tid=m1465dab025b5&ct=18335&tsum=ba935e583d90bfbe1d1d9662e9ac600c
靖天卡通台,http://50.7.238.114:8278/jingtiancartoon_twn/playlist.m3u8?tid=MD1D2636832926368329&ct=19226&tsum=22c17cfa6920f0b4a9d45746ac25c547
CN 卡通頻道,http://50.7.238.114:8278/momo1_twn/playlist.m3u8?ct=19225&tid=MA0A4898983648989836&tsum=bd109117d126916f203880b1f2063d5e
CN 卡通頻道,http://50.7.238.114:8278/momo1_twn/playlist.m3u8?tid=md272f875bb6916787346&ct=17874&tsum=0c38bae20c6db7e76ad1418654c8ccd4
MoMo親子台(yt),http://richman.cf/tvbox/raw.php?id=24.m3u8
東森幼幼台,http://50.7.238.114:8278/yoyo_twn/playlist.m3u8?ct=17874&tid=m84c9b210bc7f11269156&tsum=51340c8fb7ca02ab978ee0791843501d
東森幼幼台,http://61.221.81.93:8525/hls/65/807/ch843.m3u8
東森幼幼台,http://220.134.196.147:9503/http/116.50.42.18:8081/hls/63/805/ch09.m3u8
東森幼幼台,http://richman.cf/tvbox/raw.php?id=25.m3u8
緯來綜合,http://60.251.33.252:18540/http/192.168.1.9:8088/hls/68/810/ch32.m3u8
八大第一,http://60.251.33.252:18539/http/192.168.1.9:8088/hls/66/808/ch22.m3u8
八大综合,http://198.16.100.90:8278/badazhonghe/playlist.m3u8?tid=MC5C5422299054222990&ct=19193&tsum=8189d5b21bdeabdffa3d2b2cbeaae0ae
八大综合,http://198.16.100.90:8278/badazhonghe/playlist.m3u8?tid=mfb8d64b6276514171054&ct=17874&tsum=a87466c997089ea7dce98cd17301667d
八大综合,http://198.16.100.90:8278/badazhonghe/playlist.m3u8?tid=MCFC9951205299512052&ct=19249&tsum=dc4ca0de5e57c9f4caee0bb4e80c098a
八大综合,http://198.16.100.90:8278/badazhonghe/playlist.m3u8?tid=MC7C4692263546922635&ct=19225&tsum=ffdc7a6397b511103e0df0b92e678790
三立台灣,https://sanlihalive1-a.akamaihd.net/5ffd3a166f7241d9b489b7d7241db96f/ap-northeast-1/4338955585001/profile_0/chunklist.m3u8?hdnea=st=1664678506~exp=9007200919419497~acl=/5ffd3a166f7241d9b489b7d7241db96f/*/profile_0/chunklist.m3u8*~hmac=cfd432e7da8eece68fe4a4da3a3bc08ab1bbc50b147a84c95ae3d4a569e932b1
三立台灣,https://sanlihalive1-a.akamaihd.net/5ffd3a166f7241d9b489b7d7241db96f/ap-northeast-1/4338955585001/profile_1/chunklist.m3u8?hdnea=st=1664678506~exp=9007200919419497~acl=/5ffd3a166f7241d9b489b7d7241db96f/*/profile_1/chunklist.m3u8*~hmac=91a79f89ab6475a9ebdb69c9ff188cae5c1ae81d1afde64daecd53e989c9bfc3
三立台灣,https://sanlihalive1-a.akamaihd.net/5ffd3a166f7241d9b489b7d7241db96f/ap-northeast-1/4338955585001/profile_2/chunklist.m3u8?hdnea=st=1664678506~exp=9007200919419497~acl=/5ffd3a166f7241d9b489b7d7241db96f/*/profile_2/chunklist.m3u8*~hmac=34c6c254e7df415612fbc4534d54b5e7ccb6d1174b17a27d2a639798d9765173
三立都會,https://sanlihalive1-a.akamaihd.net/4c3bb0ccad574d0e9b507c2dcd2dfabc/ap-northeast-1/4338955585001/profile_0/chunklist.m3u8?hdnea=st=1664678487~exp=9007200919419478~acl=/4c3bb0ccad574d0e9b507c2dcd2dfabc/*/profile_0/chunklist.m3u8*~hmac=1a3986bd8fb660eacbcc9954c67fb674fa810779ddc2fab5fa77188868ca3686
三立都會,https://sanlihalive1-a.akamaihd.net/4c3bb0ccad574d0e9b507c2dcd2dfabc/ap-northeast-1/4338955585001/profile_1/chunklist.m3u8?hdnea=st=1664678487~exp=9007200919419478~acl=/4c3bb0ccad574d0e9b507c2dcd2dfabc/*/profile_1/chunklist.m3u8*~hmac=89f79f6442fed7c3b4bc9388123ebb72802d3aa1a6129f24d1a6d59f4fad72dd
三立都會,https://sanlihalive1-a.akamaihd.net/4c3bb0ccad574d0e9b507c2dcd2dfabc/ap-northeast-1/4338955585001/profile_2/chunklist.m3u8?hdnea=st=1664678487~exp=9007200919419478~acl=/4c3bb0ccad574d0e9b507c2dcd2dfabc/*/profile_2/chunklist.m3u8*~hmac=4d5a5a64d3a2099102a144761bc8c65b0f79b9b0421e984cbba7dde5dec1ccd3
衛視中文,http://198.16.100.90:8278/weishichinese_twn/playlist.m3u8?tid=MA8A7894022878940228&ct=19226&tsum=c0323ce59263e0096d4181626874e17c
衛視中文,http://198.16.100.90:8278/weishichinese_twn/playlist.m3u8?tid=MB7B8325601583256015&ct=19249&tsum=88f84634240050b869fbbe8cfeb43cc7
東森綜合,http://198.16.100.90:8278/ettvzhonghe/playlist.m3u8?tid=MC4C1214674912146749&ct=19254&tsum=9b96a50ba99dca1a02a27b05a6fb4b0d
東森綜合,http://198.16.100.90:8278/ettvzhonghe/playlist.m3u8?tid=m65c4e525f24617101171&ct=17874&tsum=663db593cfeefc92ce4b5d7461988f3f
東森超視,rtmp://9tv3.mine.nu/sat/tv331 
東森超視,rtmp://9svd4.mine.nu/sat/tv331 
東森超視,http://198.16.100.90:8278/ettvsuper/playlist.m3u8?tid=MB0B9022098390220983&ct=19249&tsum=594e3a93afe766cf27fd21b8addee391 
東森超視,http://198.16.100.90:8278/ettvsuper/playlist.m3u8?tid=MA4A3005409230054092&ct=19225&tsum=c5d89f66fa1a8bcd26f482d4a370def5
東森超視,rtmp://9tv2.mine.nu/sat/tv331 
東森購物2台,http://richman.cf/tvbox/raw.php?id=34.m3u8
momo購物2台,http://richman.cf/tvbox/raw.php?id=35.m3u8
中天綜合,http://198.16.100.90:8278/ctizhonghe/playlist.m3u8?tid=MBBB1520797915207979&ct=19193&tsum=3a6f7f0c591c2ec6678d51b741f290b2 
中天綜合,http://198.16.100.90:8278/ctizhonghe/playlist.m3u8?tid=MB6B3888954738889547&ct=19254&tsum=d0cb922e44e8a16bea598530697c581e 
中天綜合,http://198.16.100.90:8278/ctizhonghe/playlist.m3u8?tid=m85005aeec85b14021104&ct=17874&tsum=69f19f4b12ab79d2ee683b28cdb1c8ca
東風37,http://60.251.33.252:18560/http/192.168.1.9:8081/hls/68/810/ch31.m3u8
東風37,http://123.51.229.65:18560/http/116.50.42.18:8081/hls/68/810/ch31.m3u8
年代MUCH,http://61.221.81.93:8078/hls/27/80/much.m3u8
中天娛樂,http://198.16.100.90:8278/ctient/playlist.m3u8?tid=MDED1780059017800590&ct=19226&tsum=4d05ea700aa8fd436b51ce703680e674
中天娛樂,http://198.16.100.90:8278/ctient/playlist.m3u8?tid=m6780c60bd34a13540795&ct=17874&tsum=06089e289a460b0685447b7656d550e3
中天娛樂,http://198.16.100.90:8278/ctient/playlist.m3u8?tid=MA8A3069789530697895&ct=19193&tsum=20c49fe9e15ad366c6e32b141f03bf8a
中天娛樂,http://198.16.100.90:8278/ctient/playlist.m3u8?tid=MC9C7081133170811331&ct=19249&tsum=8b08b54208f3ee30e12f419d587f46ac
東森戲劇,http://162.19.247.76:22222/live/dsxj/index.m3u8
東森戲劇,http://60.251.33.252:18538/http/192.168.1.9:8081/hls/64/806/ch13.m3u8
八大戲劇,http://220.134.196.147:9543/http/60.251.39.91:8081/hls/66/808/ch23.m3u8
TVBS歡樂,rtmp://219.80.97.77/sat/tv421
TVBS歡樂,rtmp://119.81.124.89/sat/tv421
緯來戲劇,http://220.134.196.147:9542/http/60.251.39.91:8081/hls/69/811/ch33.m3u8
緯來綜合,http://123.51.229.65:18540/http/116.50.42.18:8081/hls/68/810/ch32.m3u8
緯來綜合,http://60.251.33.252:18540/http/116.50.42.18:8081/hls/68/810/ch32.m3u8
緯來綜合,http://220.134.196.147:9518/http/60.251.39.91:8081/hls/68/810/ch32.m3u8
龍華戲劇,http://198.16.100.90:8278/lunghuaxiju_twn/playlist.m3u8?tid=MF2F2793524427935244&ct=19249&tsum=db1ef83fbbbae9a364979295fd690f7d
龍華戲劇,http://198.16.100.90:8278/lunghuaxiju_twn/playlist.m3u8?tid=MBAB4709384347093843&ct=19226&tsum=a2a7258f8565588e10b8da2f26ba8039
大愛一台,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大愛一台,http://richman.cf/tvbox/raw.php?id=46.m3u8
大愛二台,https://pulltv2.wanfudaluye.com/live/tv2.m3u8
大愛二台,http://richman.cf/tvbox/raw.php?id=47.m3u8
寰宇新聞ᴴᴰ,http://richman.cf/tvbox/raw.php?id=48.m3u8
壹電視新聞,http://60.251.59.180:8501/http/60.251.39.91:8081/hls/66/808/ch24.m3u8
華視新聞資訊,http://stream.dsichannel.com/hls/cts-news.m3u8
東森新聞,http://61.221.81.93:8078/hls/33/80/ebcnews.m3u8
東森新聞,http://awei.beimua.com/iptv.php?id=44
中天新聞,http://richman.cf/tvbox/raw.php?id=52.m3u8
中天新聞,http://220.134.196.147:9503/http/116.50.42.18:8081/hls/78/80/ch63max.m3u8
民視新聞ᴴᴰ,http://richman.cf/tvbox/raw.php?id=53.m3u8
民視新聞ᴴᴰ,http://220.134.196.147:9514/http/116.50.42.18:8081/hls/73/815/ch51.m3u8
三立新聞,http://60.251.59.180:8506/http/60.251.39.91:8081/hls/65/807/ch18.m3u8
三立新聞,http://220.134.196.147:9502/http/60.251.39.91:8081/hls/65/807/ch18.m3u8
三立新聞,http://richman.cf/tvbox/raw.php?id=54.m3u8
三立新聞,http://138.2.63.32:9500/live.m3u8?c=1
TVBS新聞,rtmp://119.81.124.89/sat/tv551
TVBS新聞,rtmp://9tv3.mine.nu/sat/tv551
TVBS新聞,rtmp://9tv2.mine.nu/sat/tv551
TVBS新聞,rtmp://9svd4.mine.nu/sat/tv551
TVBS新聞,rtmp://219.80.97.77/sat/tv551
TVBS新聞,rtmp://9svd1.mine.nu/sat/tv55
TVBS新聞,rtmp://59.124.75.147/sat/tv551
TVBS新聞,rtmp://119.81.124.89:1935/sat/tv551
TVBS新聞,http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8
中天新聞2台,http://richman.cf/tvbox/raw.php?id=522.m3u8
東森財經,http://richman.cf/tvbox/raw.php?id=57.m3u8
東森財經,rtmp://219.80.97.77/sat/tv571
東森財經,https://ytm2.yuanhsing.cf/EBCFinancial.m3u8
