🇹🇼台灣頻道,#genre#
AXN,https://everydaytv.top/play-3-1-0.html$Js=everydaytv
八大第1台,https://everydaytv.top/play-3-5-0.html$Js=everydaytv
八大精采台,https://everydaytv.top/play-3-6-0.html$Js=everydaytv
八大戲劇台,https://everydaytv.top/play-3-7-0.html$Js=everydaytv
八大娛樂台,https://everydaytv.top/play-3-8-0.html$Js=everydaytv
八大綜合台,https://everydaytv.top/play-3-9-0.html$Js=everydaytv
八大綜藝台,https://everydaytv.top/play-3-10-0.html$Js=everydaytv
CATCHPLAY電影台,https://everydaytv.top/play-3-17-0.html$Js=everydaytv
cinemax,https://everydaytv.top/play-3-18-0.html$Js=everydaytv
cnex,https://everydaytv.top/play-3-19-0.html$Js=everydaytv
Discovery,https://everydaytv.top/play-3-20-0.html$Js=everydaytv
Discovery Asia,https://everydaytv.top/play-3-21-0.html$Js=everydaytv
Discovery DMAX,https://everydaytv.top/play-3-22-0.html$Js=everydaytv
Discovery SCI,https://everydaytv.top/play-3-23-0.html$Js=everydaytv
東森財經新聞,https://everydaytv.top/play-3-25-0.html$Js=everydaytv
東森超視,https://everydaytv.top/play-3-26-0.html$Js=everydaytv
東森電影,https://everydaytv.top/play-3-27-0.html$Js=everydaytv
東森LIVE,https://everydaytv.top/play-3-28-0.html$Js=everydaytv
東森戲劇,https://everydaytv.top/play-3-29-0.html$Js=everydaytv
東森新聞,https://everydaytv.top/play-3-30-0.html$Js=everydaytv
東森yoyo,https://everydaytv.top/play-3-31-0.html$Js=everydaytv
東森洋片,https://everydaytv.top/play-3-32-0.html$Js=everydaytv
東森綜合,https://everydaytv.top/play-3-33-0.html$Js=everydaytv
動物星球,https://everydaytv.top/play-3-34-0.html$Js=everydaytv
ELEVEN 1,https://everydaytv.top/play-3-35-0.html$Js=everydaytv
ELEVEN 2,https://everydaytv.top/play-3-36-0.html$Js=everydaytv
ELTA體育一台,https://everydaytv.top/play-3-37-0.html$Js=everydaytv
ELTA體育二台,https://everydaytv.top/play-3-38-0.html$Js=everydaytv
ELTA體育三台,https://everydaytv.top/play-3-39-0.html$Js=everydaytv
